text,number,input_seq,target,input_seq_padded
zero,0,[0],0.0,"[0, 0, 0, 0, 0, 0, 0]"
one,1,[1],1.0,"[1, 0, 0, 0, 0, 0, 0]"
two,2,[2],2.0,"[2, 0, 0, 0, 0, 0, 0]"
three,3,[3],3.0,"[3, 0, 0, 0, 0, 0, 0]"
four,4,[4],4.0,"[4, 0, 0, 0, 0, 0, 0]"
five,5,[5],5.0,"[5, 0, 0, 0, 0, 0, 0]"
six,6,[6],6.0,"[6, 0, 0, 0, 0, 0, 0]"
seven,7,[7],7.0,"[7, 0, 0, 0, 0, 0, 0]"
eight,8,[8],8.0,"[8, 0, 0, 0, 0, 0, 0]"
nine,9,[9],9.0,"[9, 0, 0, 0, 0, 0, 0]"
ten,10,[10],10.0,"[10, 0, 0, 0, 0, 0, 0]"
eleven,11,[11],11.0,"[11, 0, 0, 0, 0, 0, 0]"
twelve,12,[12],12.0,"[12, 0, 0, 0, 0, 0, 0]"
thirteen,13,[13],13.0,"[13, 0, 0, 0, 0, 0, 0]"
fourteen,14,[14],14.0,"[14, 0, 0, 0, 0, 0, 0]"
fifteen,15,[15],15.0,"[15, 0, 0, 0, 0, 0, 0]"
sixteen,16,[16],16.0,"[16, 0, 0, 0, 0, 0, 0]"
seventeen,17,[17],17.0,"[17, 0, 0, 0, 0, 0, 0]"
eighteen,18,[18],18.0,"[18, 0, 0, 0, 0, 0, 0]"
nineteen,19,[19],19.0,"[19, 0, 0, 0, 0, 0, 0]"
twenty,20,[20],20.0,"[20, 0, 0, 0, 0, 0, 0]"
twenty one,21,"[20, 1]",21.0,"[20, 1, 0, 0, 0, 0, 0]"
twenty two,22,"[20, 2]",22.0,"[20, 2, 0, 0, 0, 0, 0]"
twenty three,23,"[20, 3]",23.0,"[20, 3, 0, 0, 0, 0, 0]"
twenty four,24,"[20, 4]",24.0,"[20, 4, 0, 0, 0, 0, 0]"
twenty five,25,"[20, 5]",25.0,"[20, 5, 0, 0, 0, 0, 0]"
twenty six,26,"[20, 6]",26.0,"[20, 6, 0, 0, 0, 0, 0]"
twenty seven,27,"[20, 7]",27.0,"[20, 7, 0, 0, 0, 0, 0]"
twenty eight,28,"[20, 8]",28.0,"[20, 8, 0, 0, 0, 0, 0]"
twenty nine,29,"[20, 9]",29.0,"[20, 9, 0, 0, 0, 0, 0]"
thirty,30,[30],30.0,"[30, 0, 0, 0, 0, 0, 0]"
thirty one,31,"[30, 1]",31.0,"[30, 1, 0, 0, 0, 0, 0]"
thirty two,32,"[30, 2]",32.0,"[30, 2, 0, 0, 0, 0, 0]"
thirty three,33,"[30, 3]",33.0,"[30, 3, 0, 0, 0, 0, 0]"
thirty four,34,"[30, 4]",34.0,"[30, 4, 0, 0, 0, 0, 0]"
thirty five,35,"[30, 5]",35.0,"[30, 5, 0, 0, 0, 0, 0]"
thirty six,36,"[30, 6]",36.0,"[30, 6, 0, 0, 0, 0, 0]"
thirty seven,37,"[30, 7]",37.0,"[30, 7, 0, 0, 0, 0, 0]"
thirty eight,38,"[30, 8]",38.0,"[30, 8, 0, 0, 0, 0, 0]"
thirty nine,39,"[30, 9]",39.0,"[30, 9, 0, 0, 0, 0, 0]"
forty,40,[40],40.0,"[40, 0, 0, 0, 0, 0, 0]"
forty one,41,"[40, 1]",41.0,"[40, 1, 0, 0, 0, 0, 0]"
forty two,42,"[40, 2]",42.0,"[40, 2, 0, 0, 0, 0, 0]"
forty three,43,"[40, 3]",43.0,"[40, 3, 0, 0, 0, 0, 0]"
forty four,44,"[40, 4]",44.0,"[40, 4, 0, 0, 0, 0, 0]"
forty five,45,"[40, 5]",45.0,"[40, 5, 0, 0, 0, 0, 0]"
forty six,46,"[40, 6]",46.0,"[40, 6, 0, 0, 0, 0, 0]"
forty seven,47,"[40, 7]",47.0,"[40, 7, 0, 0, 0, 0, 0]"
forty eight,48,"[40, 8]",48.0,"[40, 8, 0, 0, 0, 0, 0]"
forty nine,49,"[40, 9]",49.0,"[40, 9, 0, 0, 0, 0, 0]"
fifty,50,[50],50.0,"[50, 0, 0, 0, 0, 0, 0]"
fifty one,51,"[50, 1]",51.0,"[50, 1, 0, 0, 0, 0, 0]"
fifty two,52,"[50, 2]",52.0,"[50, 2, 0, 0, 0, 0, 0]"
fifty three,53,"[50, 3]",53.0,"[50, 3, 0, 0, 0, 0, 0]"
fifty four,54,"[50, 4]",54.0,"[50, 4, 0, 0, 0, 0, 0]"
fifty five,55,"[50, 5]",55.0,"[50, 5, 0, 0, 0, 0, 0]"
fifty six,56,"[50, 6]",56.0,"[50, 6, 0, 0, 0, 0, 0]"
fifty seven,57,"[50, 7]",57.0,"[50, 7, 0, 0, 0, 0, 0]"
fifty eight,58,"[50, 8]",58.0,"[50, 8, 0, 0, 0, 0, 0]"
fifty nine,59,"[50, 9]",59.0,"[50, 9, 0, 0, 0, 0, 0]"
sixty,60,[60],60.0,"[60, 0, 0, 0, 0, 0, 0]"
sixty one,61,"[60, 1]",61.0,"[60, 1, 0, 0, 0, 0, 0]"
sixty two,62,"[60, 2]",62.0,"[60, 2, 0, 0, 0, 0, 0]"
sixty three,63,"[60, 3]",63.0,"[60, 3, 0, 0, 0, 0, 0]"
sixty four,64,"[60, 4]",64.0,"[60, 4, 0, 0, 0, 0, 0]"
sixty five,65,"[60, 5]",65.0,"[60, 5, 0, 0, 0, 0, 0]"
sixty six,66,"[60, 6]",66.0,"[60, 6, 0, 0, 0, 0, 0]"
sixty seven,67,"[60, 7]",67.0,"[60, 7, 0, 0, 0, 0, 0]"
sixty eight,68,"[60, 8]",68.0,"[60, 8, 0, 0, 0, 0, 0]"
sixty nine,69,"[60, 9]",69.0,"[60, 9, 0, 0, 0, 0, 0]"
seventy,70,[70],70.0,"[70, 0, 0, 0, 0, 0, 0]"
seventy one,71,"[70, 1]",71.0,"[70, 1, 0, 0, 0, 0, 0]"
seventy two,72,"[70, 2]",72.0,"[70, 2, 0, 0, 0, 0, 0]"
seventy three,73,"[70, 3]",73.0,"[70, 3, 0, 0, 0, 0, 0]"
seventy four,74,"[70, 4]",74.0,"[70, 4, 0, 0, 0, 0, 0]"
seventy five,75,"[70, 5]",75.0,"[70, 5, 0, 0, 0, 0, 0]"
seventy six,76,"[70, 6]",76.0,"[70, 6, 0, 0, 0, 0, 0]"
seventy seven,77,"[70, 7]",77.0,"[70, 7, 0, 0, 0, 0, 0]"
seventy eight,78,"[70, 8]",78.0,"[70, 8, 0, 0, 0, 0, 0]"
seventy nine,79,"[70, 9]",79.0,"[70, 9, 0, 0, 0, 0, 0]"
eighty,80,[80],80.0,"[80, 0, 0, 0, 0, 0, 0]"
eighty one,81,"[80, 1]",81.0,"[80, 1, 0, 0, 0, 0, 0]"
eighty two,82,"[80, 2]",82.0,"[80, 2, 0, 0, 0, 0, 0]"
eighty three,83,"[80, 3]",83.0,"[80, 3, 0, 0, 0, 0, 0]"
eighty four,84,"[80, 4]",84.0,"[80, 4, 0, 0, 0, 0, 0]"
eighty five,85,"[80, 5]",85.0,"[80, 5, 0, 0, 0, 0, 0]"
eighty six,86,"[80, 6]",86.0,"[80, 6, 0, 0, 0, 0, 0]"
eighty seven,87,"[80, 7]",87.0,"[80, 7, 0, 0, 0, 0, 0]"
eighty eight,88,"[80, 8]",88.0,"[80, 8, 0, 0, 0, 0, 0]"
eighty nine,89,"[80, 9]",89.0,"[80, 9, 0, 0, 0, 0, 0]"
ninety,90,[90],90.0,"[90, 0, 0, 0, 0, 0, 0]"
ninety one,91,"[90, 1]",91.0,"[90, 1, 0, 0, 0, 0, 0]"
ninety two,92,"[90, 2]",92.0,"[90, 2, 0, 0, 0, 0, 0]"
ninety three,93,"[90, 3]",93.0,"[90, 3, 0, 0, 0, 0, 0]"
ninety four,94,"[90, 4]",94.0,"[90, 4, 0, 0, 0, 0, 0]"
ninety five,95,"[90, 5]",95.0,"[90, 5, 0, 0, 0, 0, 0]"
ninety six,96,"[90, 6]",96.0,"[90, 6, 0, 0, 0, 0, 0]"
ninety seven,97,"[90, 7]",97.0,"[90, 7, 0, 0, 0, 0, 0]"
ninety eight,98,"[90, 8]",98.0,"[90, 8, 0, 0, 0, 0, 0]"
ninety nine,99,"[90, 9]",99.0,"[90, 9, 0, 0, 0, 0, 0]"
one hundred and,100,"[1, 100, 0]",100.0,"[1, 100, 0, 0, 0, 0, 0]"
one hundred and one,101,"[1, 100, 0, 1]",101.0,"[1, 100, 0, 1, 0, 0, 0]"
one hundred and two,102,"[1, 100, 0, 2]",102.0,"[1, 100, 0, 2, 0, 0, 0]"
one hundred and three,103,"[1, 100, 0, 3]",103.0,"[1, 100, 0, 3, 0, 0, 0]"
one hundred and four,104,"[1, 100, 0, 4]",104.0,"[1, 100, 0, 4, 0, 0, 0]"
one hundred and five,105,"[1, 100, 0, 5]",105.0,"[1, 100, 0, 5, 0, 0, 0]"
